Łączna liczba podatników dla typu konta, którzy zgłosili do opodatkowania pow. użytkową wg suma_wielk>=100 and suma_wielk<200 m2;typ_osoby;rok;ilosc_podatników
Fizyczne;Osoba fizyczna;2015;20121
Fizyczne;Osoba fizyczna;2016;21305
Fizyczne;Osoba fizyczna;2017;22666
Fizyczne;Osoba fizyczna;2018;25260
Fizyczne;Osoba fizyczna;2019;27362
Fizyczne;Osoba fizyczna;2020;28904
Fizyczne;Osoba fizyczna;2021;30542
Fizyczne;Osoba fizyczna;2022;31784
Fizyczne;Osoba fizyczna;2023;32782
Fizyczne;Osoba fizyczna;2024;33431
