Łączna liczba podatników dla typu konta, którzy zgłosili do opodatkowania pow. użytkową wg suma_wielk<50 m2;typ_osoby;rok;ilosc_podatników
Fizyczne;Osoba fizyczna;2015;23241
Fizyczne;Osoba fizyczna;2016;25401
Fizyczne;Osoba fizyczna;2017;28071
Fizyczne;Osoba fizyczna;2018;31361
Fizyczne;Osoba fizyczna;2019;34174
Fizyczne;Osoba fizyczna;2020;36589
Fizyczne;Osoba fizyczna;2021;39187
Fizyczne;Osoba fizyczna;2022;41200
Fizyczne;Osoba fizyczna;2023;42455
Fizyczne;Osoba fizyczna;2024;43108
